fen,depth,cp,mate
3r3k/1r2Npbp/4p1p1/4N3/8/1p2BP2/qP2QKPP/3R4 b - -,26,562.0,
2r4r/p4kpp/4pn2/3pBp2/Q7/2PBqP2/P5PP/R4RK1 w - -,27,-54.0,
1n3rk1/5ppp/1Q6/1p1Pp1P1/1p5b/1N1KB3/PPP3qP/R6R b - -,22,-317.0,
8/1K6/8/4Q3/8/8/5qp1/5k2 w - -,32,0.0,
3R4/7p/p4pk1/1pp5/5B2/1PPP4/1P3PPP/4R1K1 w - -,20,,7.0
r3k3/p4pp1/1pb1p2p/3nP3/P7/BP5P/5PP1/3R1BK1 w - -,28,38.0,
r2qr1k1/p2b1ppB/3b4/4N3/5Pn1/8/PP2Q1PP/R1B2RK1 b - -,15,0.0,
4r2k/3q2p1/p1R4p/1p1r4/nP1Nn2P/4R1P1/P4P2/B3Q1K1 b - -,31,241.0,
r1bq1rk1/1p3pb1/4p1pp/p1BpP3/P5n1/1RN3P1/1P2PPBP/3Q1RK1 b - -,23,8.0,
1k1r3r/pp1nqppp/2p1bn2/3p4/3P2PP/2NBPP2/PPQ5/2KR2NR w - -,26,22.0,
