fen,depth,cp,mate
4kb1r/pb3ppp/q2ppn2/8/4P3/PK3P2/2R3PP/7R w k -,15,-1236.0,
3Q4/1R2k1pp/1B3p2/p7/5P2/7P/PP3KP1/8 b - -,1,,1.0
1n3r1k/rb2q1bp/4P1p1/2p2nN1/1pB2B2/p6P/PP1QN1P1/2KR2R1 w - -,21,-34.0,
1rr3k1/pb1qppb1/np1p2p1/7p/3PPPn1/P1N1B1PB/1P1NQ2P/2RR2K1 w - -,21,47.0,
8/5K2/6P1/5P2/6R1/3Q4/8/r6k w - -,99,,1.0
3r2k1/1p3pp1/1p2nq1p/3r1b2/3N4/1P2BP1P/PP1Q2P1/2RR2K1 w - -,17,-33.0,
r3r1k1/1bp2pp1/p3qn1p/4p3/B1pPP3/2P4P/PP1N2P1/R2QR1K1 w - -,18,282.0,
r3k1nr/ppp3pp/2nb4/1B1pp3/7q/1P2PK1P/PBPP2P1/RN1Q3R b kq -,17,-422.0,
5r2/p7/3NR2p/4p2k/p4p1P/5K2/P5P1/8 w - -,23,507.0,
r2q1rk1/1pp2ppp/p4n2/3P4/8/2N2Q2/PPP2PP1/3RR2K b - -,21,0.0,
